title,overview,genres,poster_path
The Black Swan,"When notorious pirate Henry Morgan is made governor of Jamaica, he enlists the help of some of his former partners in ridding the Caribbean of buccaneers. When one of them apparently abducts the previous governor's pretty daughter and joins up with the rebels, things are set for a fight.",['Adventure'],/xGeoslDZmLq0k5bIN71sswdzm7Y.jpg
Jungle Book,"Mowgli, lost in the jungle when a toddler, raised by wolves, years later happens upon his human village and reconnects with its inhabitants, including his widowed mother. Continuing to maintain a relationship with the jungle, adventures follow.",['Adventure'],/zYkffyYCFO1Li1f20MyaAYUaYC4.jpg
For Whom the Bell Tolls,Spain in the 1930s is the place to be for a man of action like Robert Jordan. There is a civil war going on and Jordan—who has joined up on the side that appeals most to idealists of that era—has been given a high-risk assignment up in the mountains. He awaits the right time to blow up a crucial bridge in order to halt the enemy's progress.,['Adventure'],/4GuMovYLNkugU945CNsfwzmYfts.jpg
"Objective, Burma!","A group of men parachute into Japanese-occupied Burma with a dangerous and important mission: to locate and blow up a radar station. They accomplish this well enough, but when they try to rendezvous at an old air-strip to be taken back to their base, they find Japanese waiting for them, and they must make a long, difficult walk back through enemy-occupied jungle.",['Adventure'],/3hq4VhEMseKMZuNUaSExDyqGhja.jpg
Sanshiro Sugata Part Two,"In this government-suggested sequel, Sugata again grows as a judo master, and demonstrates his (and by extension, all Japanese) superiority to the foreign warrior.",['Adventure'],/g1dxWUL6hIbX2gcHo1beA05FD4z.jpg
Unconquered,"England, 1763. After being convicted of a crime, the young and beautiful Abigail Hale agrees, to escape the gallows, to serve fourteen years as a slave in the colony of Virginia, whose inhabitants begin to hear and fear the sinister song of the threatening drums of war that resound in the wild Ohio valley.",['Adventure'],/sOsESBjWExyOulekJJMc9o5Q5BX.jpg
Samson and Delilah,"When strongman Samson rejects the love of the beautiful Philistine woman Delilah, she seeks vengeance that brings horrible consequences they both regret.",['Adventure'],/iNb2KMv056vpCJycqFp5Xbpw61Z.jpg
The Scarlet Pumpernickel,"Daffy tries to sell movie studio head J.L. his script for a swashbuckler set in Merry Olde England, a plot involving a maiden in distress, a scheming Chamberlain, an evil Grand Duke and a dashing masked hero (to be played by Daffy, of course).",['Adventure'],/pCkV1R89rIBpWyS8eHImlHmJZNM.jpg
8 Ball Bunny,Bugs helps a penguin return home.,['Adventure'],/71WEqPrI52Zf7uxqla1Gf7M3uAQ.jpg
Westward the Women,"There's a deficit of good, honest women in the West, and Roy Whitman wants to change that. His solution is to bring a caravan of over 100 mail-order brides from Chicago to California. It will be a long, difficult and dangerous journey for the women. So Whitman hires hardened, cynical Buck Wyatt to be their guide across the inhospitable frontier. But as disaster strikes on the trail, Buck just might discover that these women are stronger than he thinks.",['Adventure'],/ys78QNYypeTxhJKQVL78JzO6Faq.jpg
Distant Drums,"After destroying a Seminole fort, American soldiers and their rescued companions must face the dangerous Everglades and hostile Indians in order to reach safety",['Adventure'],/i47dolQL1igTPUQ7jvCzyiBENDQ.jpg
The African Queen,"At the start of the First World War, in the middle of Africa’s nowhere, a gin soaked riverboat captain is persuaded by a strong-willed missionary to go down river and face-off a German warship.",['Adventure'],/2Ypg0KhQfFYWILelvHGtSHHR0dk.jpg
The Crimson Pirate,"Burt Lancaster plays a pirate with a taste for intrigue and acrobatics who involves himself in the goings on of a revolution in the Caribbean in the late 1700s. A light hearted adventure involving prison breaks, an oddball scientist, sailing ships, naval fights and tons of swordplay.",['Adventure'],/lOSqs9ntb2wB7gveCx2l7cqC1nG.jpg
Bend of the River,"Two men with questionable pasts, Glyn McLyntock and his friend Cole, lead a wagon-train load of homesteaders from Missouri to the Oregon territory...",['Adventure'],/pffOvEVDt6XRWDwBkmQ6zWITakJ.jpg
The Big Sky,Two tough Kentucky mountaineers join a trading expedition from St. Louis up the Missouri River to trade whisky for furs with the Blackfoot Indians. They soon discover that there is much more than the elements to contend with.,['Adventure'],/gnqdiMuvS5oBIVLxQY3Cq8wYIBR.jpg
The Story of Robin Hood and His Merrie Men,"Young Robin Hood, in love with Maid Marian, enters an archery contest with his father at the King's palace. On the way home his father is murdered by henchmen of Prince John. Robin takes up the life of an outlaw, gathering together his band of merry men with him in Sherwood Forest, to avenge his father's death and to help the people of the land that Prince John are over taxing.",['Adventure'],/qnVw3CwQgHnKiOWKhAv69dsKBfG.jpg
Road to Bali,"Having to leave Melbourne in a hurry to avoid various marriage proposals, two song-and-dance men sign on for work as divers. This takes them to an idyllic island on the way to Bali where they vie with each other for the favours of Princess Lala. The hazardous dive produces a chest of priceless jewels which arouses the less romantic interest of some shady locals.",['Adventure'],/qGMKGeTbf610pKsAQ15AB2cVuet.jpg
Island in the Sky,"A C-47 transport plane, named the Corsair, makes a forced landing in the frozen wastelands of Labrador, and the plane's pilot, Captain Dooley, must keep his men alive in deadly conditions while awaiting rescue.",['Adventure'],/z4SFfn5f4a2RrXAqVue9P8lTCLi.jpg
Creature from the Black Lagoon,"When scientists exploring the Amazon River stumble on a “missing link” connecting humans and fish, they plan to capture it for later study. But the Creature has plans of his own, and has set his sights on the lead scientist's beautiful fiancée, Kay.",['Adventure'],/euCzA2Exc70MpTDCVYih8tdE7z1.jpg
The Purple Plain,"An RAF airfield in Burma in 1945, during World War II. Canadian bomber pilot Bill Forrester is a bitter man who lives haunted by a tragic past. He has became a reckless warrior, and is feared by his comrades, who consider him a madman. Dr. Harris, the squadron physician, is determined to help him heal his tormented soul.",['Adventure'],/n9ewv2km0KQfAWPWO3UnJoC2J4B.jpg
The Naked Jungle,"The Leiningen South American cocoa plantation is threatened by a 2-mile-wide, 20-mile-long column of army ants.",['Adventure'],/gZyPloNh7m2uaaJa1TvKHhlAFFR.jpg
Forbidden Planet,"Starship C57D travels to planet Altair 4 in search of the crew of spaceship ""Bellerophon,"" a scientific expedition that has been missing for twenty years. They find themselves unwelcome by the expedition's lone survivor and warned of destruction by an invisible force if they don't turn back immediately.",['Adventure'],/aq0OQfRS7hDDI8vyD0ICbH9eguC.jpg
Around the World in Eighty Days,"Based on the famous book by Jules Verne the movie follows Phileas Fogg on his journey around the world. Which has to be completed within 80 days, a very short period for those days.",['Adventure'],/kk6Rrwh0toMz9tjuUHdS4O3v2Rk.jpg
Davy Crockett and the River Pirates,"Davy Crockett and his sidekick Georgie compete against boastful Mike Fink (""King of the River"") in a boat race to New Orleans. Later, Davy and Georgie, allied with Fink, battle a group of river pirates trying to pass themselves off as Native Americans.",['Adventure'],/nK43dRSgNYglR37KbcCjsimj5PE.jpg
"Heaven Knows, Mr. Allison","A Roman Catholic nun and a hard-bitten US Marine are stranded together on a Japanese-occupied island in the South Pacific during World War II. Under constant threat of discovery by a ruthless enemy, they hide in a cave and forage for food together. Their forced companionship and the struggle for survival forge a powerful emotional bond between them.",['Adventure'],/90jAEsc3teDWpDr5wiAmcxAjuVp.jpg
The Spirit of St. Louis,Charles Lindbergh struggles to finance and design an airplane that will make his 1927 New York to Paris flight the first solo trans-Atlantic crossing.,['Adventure'],/x1woH2hmMQxinhilEILwtwmcpHh.jpg
The Abominable Snowman,A kindly English botanist and a gruff American promoter lead an expedition to the Himalayas in search of the legendary Yeti.,['Adventure'],/uVBy1rAxsdPqNtJx6U10SVhIdrx.jpg
The Defiant Ones,Two convicts—a white racist and an angry black man—escape while chained to each other.,['Adventure'],/tGGNyImEXgedDjrCORbC9cTJp0X.jpg
The 7th Voyage of Sinbad,"When a princess is shrunken by an evil wizard, Sinbad must undertake a quest to an island of monsters to cure her and prevent a war.",['Adventure'],/rK5ceoe5d3K8cTzEoOnuRNA6Xt9.jpg
Ben-Hur,"In 25 AD, Judah Ben-Hur, a Jew in ancient Judea, opposes the occupying Roman empire.  Falsely accused by a Roman childhood friend-turned-overlord of trying to kill the Roman governor, he is put into slavery and his mother and sister are taken away as prisoners.",['Adventure'],/m4WQ1dBIrEIHZNCoAjdpxwSKWyH.jpg
The Cow and I,"In 1942, a French prisonner of war in Germany decide to escape to France using a cow hold by a lunge as a decoy. He cross all Germany in this way.",['Adventure'],/2OJStomiaADWhVefZxrHrmtpgBy.jpg
Darby O'Gill and the Little People,A wily old codger matches wits with the King of the Leprechauns and helps play matchmaker for his daughter and the strapping lad who has replaced him as caretaker.,['Adventure'],/2SB5yYMIk3wIgkcJ3k2KwCrRtIB.jpg
The Tiger of Eschnapur,"In Eschnapur, a German architect saves the life of the Maharajah's favorite temple dancer and becomes Maharajah's friend but their friendship is tested when the architect and the dancer fall in-love, triggering the Maharajah's vengeful ire.",['Adventure'],/eOQud8hEPgBJ82AmJ2HPjZLmpnz.jpg
The Indian Tomb,"Seetha and Harold Berger are rescued from the desert by a caravan and brought to a small village. However, the greedy owner of the house where they are lodged betrays the law of hospitality and reveals their location to Prince Ramigani. The couple tries to escape but is hunted and captured by Ramigani and his men. Meanwhile Irene Rhode and her husband Walter Rhode suspect that Maharaja Chandra is not telling the truth about Harold's destiny. The conspirator Ramigani forces Seetha to accept to get married with Chandra to provoke the wrath of the priests and get the alliance of Prince Padhu and his army. In the meantime, Harold succeeds in escaping from the dungeon and seeks out Seetha to save her.",['Adventure'],/4N9uLLo7L2xE0uW9cN2FEJluZzt.jpg
Letter Never Sent,"Four geologists are searching for diamonds in the wilderness of Siberia. After a long and tiresome journey they manage to find their luck and put the diamond mine on the map. The map must be delivered back to Moscow. But on the day of their departure a terrible forest fire wreaks havoc, and the geologists get trapped in the woods.",['Adventure'],/eBIEgVI4uMzJGvEtwS31YtgEqTP.jpg
The 3 Worlds of Gulliver,"Doctor Gulliver is poor, so nothing - not even his charming fiancée Elisabeth - keeps him in the town he lives. He signs on to a ship to India, but in a storm he's washed off the ship and ends up on an island, which is inhibitated by very tiny people. After he managed to convince them he's harmless and is accepted as one of their citizens, their king wants to use him in war against a people of giants. Compared to them, even Gulliver is a gnome.",['Adventure'],/45ZGwUgXrslawCOoVAdUNE9xSAf.jpg
The Monkey King: Uproar in Heaven,"Sun Wukong, aka the Monkey King, rebels against the Jade Emperor of Heaven as well as other gods who live there.",['Adventure'],/5uTHVn53ZFD1YKsvLqYd2DcGQig.jpg
One Hundred and One Dalmatians,"When a litter of dalmatian puppies are abducted by the minions of Cruella De Vil, the parents must find them before she uses them for a diabolical fashion statement.",['Adventure'],/mRY84MJeWKnp9joev82QtslJFvk.jpg
Mothra,"Shipwreck survivors found on the presumably uninhabited Infant Island leads to a scientific expedition that discovers a surviving native population along with the Shobijin, tiny twin fairy priestesses of the island's mythical deity called Mothra. After the fairies are kidnapped by an exploitative businessman named Clark Nelson, Mothra sets out to rescue them.",['Adventure'],/87hiAyyGFHPuuJ3iXHK8xZSMcRP.jpg
Barabbas,"Epic account of the thief Barabbas, who was pardoned for his crimes and spared crucifixion when Pilate offered the Israelites a choice to pardon Barabbas or Jesus. Struggling with his spirituality, Barabbas goes through many ordeals leading him to the gladiatorial arena, where he tries to win his freedom and confront his inner demons, ultimately becoming a follower of the man who was crucified in his place.",['Adventure'],/8qTylsK58cNc9hP7cQksi65j8JW.jpg
Amphibian Man,"People living at a seashore town are frightened by reports of an unknown creature called ""the sea devil"". Nobody knows what it is, but it's really the son of doctor Salvator. The doctor performed surgery on his son and now young Ichtiander can live under water. This gives him certain advantages, but also creates a lot of problems.",['Adventure'],/yiB1hSRwR4kDJ0cANxiQBOlMsQP.jpg
Hercules in the Haunted World,"Upon his return from battle in the previous film, the great warrior Hercules learns that his lover, Daianara, has lost her senses. Acording of the oracle Medea, Dianara's only hope is the Stone of Forgetfulness which lies deep in the realm of Hades. Hercules, with two companions, Theseus and Telemachus, embarks on a dangerous quest for the stone, while he is unaware that Dianara's guardian, King Lico, is the one responsible for her condition and plots to have the girl for himself as his bride upon her revival.",['Adventure'],/tGmVETh3SLQpYXoEEQ9QVC803NE.jpg
Lawrence of Arabia,"The story of British officer T.E. Lawrence's mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.",['Adventure'],/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg
The Fabulous Baron Munchausen,"A 20th century man lands on the Moon and discovers that Baron Munchausen has beaten him to it, accompanied by Cyrano de Bergerac and the characters from Jules Verne's novels about the conquest of the satellite.",['Adventure'],/azAhyBd8netxD18VdYo7C4oUvbR.jpg
Treasure of Silver Lake,"Fred Engel's father is murdered by Colonel Brinkley in order to acquire a treasure map, however the Colonel only acquires half of it, the other half as held by Mrs. Butler. Discovering the scene of the crime, Old Shatterhand and Winnetou help Fred bring his father's murderer to justice and locate the treasure of Silver Lake.",['Adventure'],/2cVvcf9l2k4wOU7D8w6ouQlTaAe.jpg
"It's a Mad, Mad, Mad, Mad World","A group of strangers come across a man dying after a car crash who proceeds to tell them about the $350,000 he buried in California. What follows is the madcap adventures of those strangers as each attempts to claim the prize for himself.",['Adventure'],/j4mWzOisSHFkaqIkq34l2mm8a5K.jpg
Atragon,"The legendary empire of the lost continent of Mu reappears to threaten the world with domination. While countries unite to resist, an isolated World War II Captain has created the greatest warship ever seen, and possibly the surface world's only defense.",['Adventure'],/u5fD2mfsovtW1Pn2Umtl2G3280w.jpg
Donovan's Reef,"After her great aunt's death, a high-society woman arrives on a Hawaiian island in search of the heir - the father she has never met.",['Adventure'],/xxZ6VUmnsxNiMa812IP3ohUf3BS.jpg
That Man from Rio,"French military man Adrien Dufourquet gets an eight-day furlough to visit his fiancée, Agnès. But when he arrives in Paris, he learns that her late father's partner, museum curator Professor Catalan, has just been kidnapped by a group of Amazon tribesmen who have also stolen a priceless statue from the museum. Adrien and Agnès pursue the kidnappers to Brazil, where they learn that the statue is the key to a hidden Amazon treasure.",['Adventure'],/rYagiP1TfTpHITL5tXTFiqfsyQl.jpg
Rudolph the Red-Nosed Reindeer,"Sam the snowman tells us the story of a young red-nosed reindeer who, after being ousted from the reindeer games because of his glowing nose, teams up with Hermey, an elf who wants to be a dentist, and Yukon Cornelius, the prospector. They run into the Abominable Snowman and find a whole island of misfit toys. Rudolph vows to see if he can get Santa to help the toys, and he goes back to the North Pole on Christmas Eve. But Santa's sleigh is fogged in. But when Santa looks over Rudolph, he gets a very bright idea...",['Adventure'],/xjAElUhXuc7zFJPj3qUHjcySNsE.jpg
Fantomas,Fantômas is a man of many disguises. He uses maquillage as a weapon. He can impersonate anyone using an array of masks and can create endless confusion by constantly changing his appearance.,['Adventure'],/eBg2ka0vAHZEwIWAaIYcDVp0wPx.jpg
"Fight, Zatoichi, Fight","Blind swordsman/masseuse Zatoichi befriends a young woman returning home with her baby. When gangsters mistake her for Zatoichi and kill her, Zatoichi determines to escort the baby to its father. He gains the reluctant help of a young pick pocket and together they travel to find the baby's father. But they do not reckon on the father's reaction to their arrival, nor on their own growing feelings for the child.",['Adventure'],/8BecqM4fFbHrz994VYgwqUtD5xm.jpg
Angelique,"In 17th-century France, beautiful country maiden Angélique marries wealthy neighbor Jeoffray de Peyrac out of convenience, but eventually, she falls in love with him. So when Jeoffray is arrested and then vanishes, she bravely sets out to find him. This is the first of many dramas based on Anne and Serge Golon's novels about strong-willed Angélique and her adventures during the reign of Louis XIV, the Sun King.",['Adventure'],/lBPpq9f5FNa1fgbcguVh9cOzfg0.jpg
Last of the Renegades,"Forester, a ruthless oil baron, wants to create a war between the native American tribes and the white men. Old Shatterhand, Winnetou and their sidekick Castlepool try to prevent this.",['Adventure'],/3UXTBXX4XsM5HqhDW2vxZtcs0fk.jpg
Frontier Hellcat,Outlaws disguised as Indians commit crimes against settlers but Winnetou and Old Surehand are determined to unmask the bandits and keep the peace.,['Adventure'],/xVA3LE121ZvwoLdHSxXLyYHfDEn.jpg
The Black Tulip,"Aristocrat Guillaume de Saint Preux leads a double life as a masked bandit known as the Black Tulip. The Black Tulip only robs rich aristocrats, so the local peasants regard him as a hero. Baron La Mouche is convinced Guillaume is the Tulip. During a robbery, he scars the Tulip's face, and hopes to use this to expose Guillaume, but Guillaume is one step ahead.",['Adventure'],/fYaIoQrEEz2fnJcY3KAzBsPwvF4.jpg
The Wise Guys,Hector Valentin returns to France from Canada when he inherits a small sawmill. He has difficulties restarting the run-down operation which has inefficient workers and is hampered by the dirty tactics of its bigger...,['Adventure'],/y1OV7AbXCPPacXpASpL6X7csU7B.jpg
Vovka in the Kingdom of Far Far Away,A schoolboy gets into a fairy tale with the help of a librarian and DIY book. But life in the magical land is not as easy as it seems.,['Adventure'],/etyGlB14oiy9NVxUSxQOi0XwAt7.jpg
The Desperado Trail,"Rollins' gang wants to grab land by inciting the settlers in a war against the Indians but Winnetou and Old Shatterhand try to keep the peace, until Rollins frames Winnetou up for the murder of Jicarilla Chief's son.",['Adventure'],/2pGKMW4QpvljuS2AiEcxyP9RwCk.jpg
Help!,"An obscure Eastern cult that practices human sacrifice pursues Ringo after he unknowingly puts on a ceremonial ring (that, of course, won't come off). On top of that, a pair of mad scientists, members of Scotland Yard, and a beautiful but dead-eyed assassin all have their own plans for the Fab Four.",['Adventure'],/iSfXaWMAvdlidvFd1g4p5nzVogE.jpg
Lord Jim,"After being discredited as a coward, a 19th century seaman lives for only one purpose: to redeem himself.  Preserved by the Academy Film Archive in partnership with Sony Pictures Entertainment in 2000.",['Adventure'],/hgoxcPLJYYqDIlFDl7pnndcm9MT.jpg
Angelique: The Road To Versailles,"Angelique is saved by the king of the cutthroats when she is endangered in the streets of Paris. After her hero is killed, she has many amorous affairs and becomes a successful businesswoman.",['Adventure'],/61kBuzSwVtlzRUQSJ3kYoJbGAKr.jpg
Planet of the Vampires,"After landing on a mysterious planet, a team of astronauts begin to turn on each other, swayed by the uncertain influence of the planet and its strange inhabitants.",['Adventure'],/bPpfT4r9HtHcri0eIknqpewoewM.jpg
Rampage at Apache Wells,"'The Oilprince' is an unscrupulous businessman. He looks forward to a lucrative deal with the ""Western Arizona Bank'. He sells the bank oil wells at Shelly Lake that do actually not exist. The Oilprince learns that the colonists would like to settle at Shelly Lake. So The Oilprince exchanges the scout of the settlers by one of his minions to give them another route. But soon The Oilprince has to recognize that he has not counted on Winnetou, the righteous leader of the Apaches, and his blood brother Old Surehand.",['Adventure'],/nfqEVP55iiL8aqeNjWc1ci1c9nA.jpg
The Bible: In the Beginning...,"Covering only the first 22 chapters of the Book of Genesis, vignettes include: Adam and Eve frolicking in the Garden of Eden until their indulgence in the forbidden fruit sees them driven out; Cain murdering his brother Abel; Noah building an ark to preserve the animals of the world from the coming flood; and Abraham making a covenant with God.",['Adventure'],/2BtesvzFQJYFS2sPVVbUdet0TTC.jpg
Born Free,"At a national park in Kenya, English game warden George Adamson and his wife, Joy, care for three orphaned lion cubs. After the two larger lions are shipped off to a zoo in the Netherlands, the smallest of the three, Elsa, stays with the couple. When Elsa is blamed for causing an elephant stampede in the nearby village, head warden John Kendall demands the young lion either be trained to survive in the wilds of the Serengeti or be sent to a zoo.",['Adventure'],/xI5BkObQm7UtYEFTw7ZmiDGF7gT.jpg
The Man Called Flintstone,"In this feature-length film based on the ""Flintstones"" TV show, secret agent Rock Slag is injured during a chase in Bedrock. Slag's chief decides to replace the injured Slag with Fred Flintstone, who just happens to look like him. The trip takes Fred to Paris and Rome, which is good for Wilma, Barney, and Betty, but can Fred foil the mysterious Green Goose's evil plan for a destructive missile without letting his wife and friends in on his secret?",['Adventure'],/3nnVtJjLQmRcHhJNeyP5UYnkfE9.jpg
The Last Adventure,"Two adventurers and best friends, Roland and Manu, are the victims of a practical joke that costs Manu his pilot's license. With seeming contrition, the jokesters tell Roland and Manu about a crashed plane lying on the ocean floor off the coast of Congo stuffed with riches. The adventurers set off to find the loot.",['Adventure'],/rsl3EbF6gwKEihyffIXXcVlvOx9.jpg
2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",['Adventure'],/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg
Por mis pistolas,"Fidencio Borer, an apothecary in a village on the northern border of Mexico, discovers some old title of a mine in Arizona and decides to claim them. Trying to cross the border is a border guard intercepted by exaggerating in the line of duty. On the way is captured by a tribe of Apaches and is about to be burned alive, but thanks to the Great Head Horse Lying having toothache and learns that the prisoner it can heal, ordered his release on the condition that the cure. Fidencio would take the wheel and gets the eternal friendship of the Chief apache.",['Adventure'],/qSWIHSwohqeZTFartIE3qzzV4i0.jpg
Junior and Karlson,"A Soviet cult cartoon, so untypical for a Western viewer, especially, a little one. A boy named Malysh (""A Little One"") suffers from solitude being the youngest of the three children in a Swedish family. The acute sense of solitude makes him desperately want a dog, but before he gets one, he ""invents"" a friend - the very Karlson who lives upon the roof. So typical for the Russian culture spirit of mischief, which is, actually, never punished, and the notion that relative welfare not necessarily means happiness made the book by Astrid Lindgren and its TV adaptations tremendously popular in the Soviet Union and nowadays Russia and vice versa - somewhat alienated to the Western reader and viewer (see User's comments below). However, both the book and the cartoon are truly universal - entertaining and funny for the children and thought-provoking and somewhat sad for grownups.",['Adventure'],/H4WHAm4yHcTUMvPgupZ5OcV4nc.jpg
Asterix and Cleopatra,"Popular animated hero Asterix and his faithful sidekick Obelix travel to ancient Egypt to help Cleopatra build a new summer home. Cleopatra and Julius Caesar have made a bet, with Caesar wagering the project cannot be completed in a few weeks time. With the help of a magic potion, Asterix comes to the rescue of the Queen of the Nile as Caesar and an angry architect plot against them.",['Adventure'],/gNpKAmWFsCiWKKx39Ap8pF7EWQg.jpg
Will Our Heroes Be Able to Find Their Friend Who Has Mysteriously Disappeared in Africa?,"A rich businessman is fed up with work, family, society, and goes with his accountant to Africa, in search of his brother-in-law who had vanished there in mysterious circumstances. They will find him alright - as a tribal chief, surrounded with lots of topless, shapely wives. They are going to return to civilisation, but will their friend come with them?",['Adventure'],/4mzYidHJIRffpSS2e91BZM3Yqmy.jpg
Chitty Chitty Bang Bang,"A hapless inventor finally finds success with a flying car, which a dictator from a foreign government sets out to take for himself.",['Adventure'],/wJ62FzGeCAs6PjCIK1as6xzdIY5.jpg
Dark of the Sun,"A band of mercenaries led by Captain Curry travel through war-torn Congo across deadly terrain, battling rival armies, to steal $50 million in uncut diamonds. But infighting, sadistic rebels and a time lock jeopardize everything.",['Adventure'],/yaIJyzcsbaUed9qh82gO1sZo0ko.jpg
Carry On Up the Khyber,"Sir Sidney Ruff-Diamond looks after the British outpost near the Khybar pass. Protected by the kilted Third Foot and Mouth regiment, you would think they were safe, but the Khazi of Kalabar has other ideas—he wants all the British dead. But his troops fear the 'skirted-devils, who are rumoured not to wear any underwear.",['Adventure'],/onwpgb0KjgmKbclw3XUE2XgkZfM.jpg
Hellfighters,"The adventures of oil well fire specialist Chance Buckman (based on real-life Red Adair), who extinguishes massive fires in oil fields around the world.",['Adventure'],/qTGlUtaxYgfVJGTA04gEov2EJwd.jpg
Ice Station Zebra,"A top-secret Soviet spy satellite -- using stolen Western technology -- malfunctions and then goes into a descent that lands it near an isolated Arctic research encampment called Ice Station Zebra, belonging to the British, which starts sending out distress signals before falling silent. The atomic submarine Tigerfish, commanded by Cmdr. James Ferraday (Rock Hudson), is dispatched to save them.",['Adventure'],/euPqp2J79zAomdgCcdpCmqjRHMy.jpg
